,size,avg,pr,slope,interaction
496,500,26.0,0.4,0.3728981781322306,random
497,500,26.0,0.4,0.4014438785688073,ordered
498,500,26.0,0.4,0.37688028994612094,degree
499,500,26.0,0.4,0.4458599656451396,distance
500,500,26.0,0.5,0.43737412855680013,random
501,500,26.0,0.5,0.4659576874298157,ordered
502,500,26.0,0.5,0.4341005447704678,degree
503,500,26.0,0.5,0.46833428639936103,distance
504,500,26.0,0.0,0.015101955975825984,random
505,500,26.0,0.0,0.014497701447598568,ordered
506,500,26.0,0.0,0.011491067851154719,degree
507,500,26.0,0.0,0.011592521875570623,distance
508,500,26.0,0.1,0.10662448043764013,random
509,500,26.0,0.1,0.11225425419267807,ordered
510,500,26.0,0.1,0.10960879516446291,degree
511,500,26.0,0.1,0.2971349970095615,distance
512,500,26.0,0.2,0.1937949368077218,random
513,500,26.0,0.2,0.2072205855558383,ordered
514,500,26.0,0.2,0.19163834914449024,degree
515,500,26.0,0.2,0.3853652421125747,distance
516,500,26.0,0.30000000000000004,0.27927451381675267,random
517,500,26.0,0.30000000000000004,0.302974269311781,ordered
518,500,26.0,0.30000000000000004,0.2854222875646202,degree
519,500,26.0,0.30000000000000004,0.4300093400638902,distance
520,500,26.0,0.4,0.3640036581046338,random
521,500,26.0,0.4,0.4029799894302929,ordered
522,500,26.0,0.4,0.37394674599383276,degree
523,500,26.0,0.4,0.4501583988332616,distance
524,500,26.0,0.5,0.4441075409254534,random
525,500,26.0,0.5,0.4675175777714027,ordered
526,500,26.0,0.5,0.44270157850773817,degree
527,500,26.0,0.5,0.4607865435775246,distance
528,500,28.0,0.0,0.01471680863780995,random
529,500,28.0,0.0,0.011575277918872667,ordered
530,500,28.0,0.0,0.014270640986562852,degree
531,500,28.0,0.0,0.014703412531643001,distance
532,500,28.0,0.1,0.10504621459638468,random
533,500,28.0,0.1,0.10673345094572473,ordered
534,500,28.0,0.1,0.10395331448757701,degree
535,500,28.0,0.1,0.2984250200549813,distance
536,500,28.0,0.2,0.20098438510007582,random
537,500,28.0,0.2,0.2113020152154125,ordered
538,500,28.0,0.2,0.20866134600994735,degree
539,500,28.0,0.2,0.40188331197467164,distance
540,500,28.0,0.30000000000000004,0.28792077920817477,random
541,500,28.0,0.30000000000000004,0.30061529176778606,ordered
542,500,28.0,0.30000000000000004,0.29008119088151263,degree
543,500,28.0,0.30000000000000004,0.43804732131671303,distance
544,500,28.0,0.4,0.38524682914920694,random
545,500,28.0,0.4,0.40920587517878404,ordered
546,500,28.0,0.4,0.38127820724299893,degree
547,500,28.0,0.4,0.44748337656727905,distance
548,500,28.0,0.5,0.44761967561801885,random
549,500,28.0,0.5,0.47855785881598073,ordered
550,500,28.0,0.5,0.44939486343100477,degree
551,500,28.0,0.5,0.460318447712848,distance
552,500,28.0,0.0,0.016446250216167857,random
553,500,28.0,0.0,0.0123172933229096,ordered
554,500,28.0,0.0,0.01333509753169943,degree
555,500,28.0,0.0,0.015864460613897926,distance
556,500,28.0,0.1,0.11113927214986234,random
557,500,28.0,0.1,0.11319418232621384,ordered
558,500,28.0,0.1,0.10747768791386955,degree
